"","pert_iname","mean","n","median","sd","sRGES"
"6331","BRD-K05002121",-0.121244823194323,4,-0.125957651102996,0.404126619988534,-0.121244823194323
"6332","BRD-K58698715",-0.121167692062924,4,-0.188544849507093,0.298453399368474,-0.121167692062924
"6333","BRD-K03957451",-0.121125152194959,5,0.133680573776411,0.549796945951989,-0.121125152194959
"6334","BRD-K65283978",-0.121100800387249,1,-0.121100800387249,NA,-0.121100800387249
"6335","cotinine",-0.12109260882267,2,-0.12109260882267,1.0241996556012,-0.12109260882267
"6336","pimozide",-0.121004038514558,25,-0.158202757734605,0.490234822533013,-0.121004038514558
"6337","levcromakalim",-0.120973613762348,3,-0.166017540089265,0.258583069172564,-0.120973613762348
"6338","BRD-K53472085",-0.120951219018498,7,-0.308436470851754,0.568227825957239,-0.120951219018498
"6339","piceid",-0.120878417714091,5,-0.111021922210211,0.323742738032587,-0.120878417714091
"6340","BRD-K33755346",-0.120847617868345,1,-0.120847617868345,NA,-0.120847617868345
"6341","BRD-K70074151",-0.120774582519236,5,0.0389537259820792,0.42163402240743,-0.120774582519236
"6342","BRD-K16826857",-0.120731527859415,4,-0.0361524978089395,0.506737339628242,-0.120731527859415
"6343","meptazinol",-0.120730162598652,3,-0.301782062518259,0.438879418579696,-0.120730162598652
"6344","BRD-K10270435",-0.120628511821018,1,-0.120628511821018,NA,-0.120628511821018
"6345","BRD-K11359987",-0.120614036322807,4,-0.0271927250895919,0.700932283949831,-0.120614036322807
"6346","BRD-K69760878",-0.120606108642596,7,0.0101885499838762,0.31574223048959,-0.120606108642596
"6347","BRD-K28317853",-0.120384609951148,4,-0.137347069781705,0.280445297964818,-0.120384609951148
"6348","mometasone",-0.12033867577357,11,0.00810692375109562,0.446618632319668,-0.12033867577357
"6349","GW-5074",-0.120221751626882,40,-0.190189306071945,0.441081041375168,-0.120221751626882
"6350","artemether",-0.120053960383354,3,-0.339403458873957,0.527980582403231,-0.120053960383354
"6351","BRD-K83151319",-0.120011327732536,8,-0.10375080919158,0.424173220679827,-0.120011327732536
"6352","leucodin",-0.119930186910361,4,-0.284846053089558,0.562052550297293,-0.119930186910361
"6353","BRD-K81751891",-0.119813739930016,5,-0.265199544179244,0.307426948354593,-0.119813739930016
"6354","prostaglandin-e1",-0.119606783483137,10,-0.38778118609407,0.65738542299309,-0.119606783483137
"6355","BRD-K74623475",-0.119431287761371,11,-0.115696184553186,0.477419577971765,-0.119431287761371
"6356","BRD-K39143839",-0.119386910886165,2,-0.119386910886165,0.237148286532912,-0.119386910886165
"6357","BRD-K75576199",-0.119240840187947,1,-0.119240840187947,NA,-0.119240840187947
"6358","oleoylethanolamide",-0.11920996691621,13,-0.403228162430616,0.494834277873393,-0.11920996691621
"6359","BRD-K35858371",-0.119147730034624,3,-0.298203330411919,0.564061546302622,-0.119147730034624
"6360","fluorometholone",-0.119131519088492,12,-0.329576108636511,0.411910913143559,-0.119131519088492
"6361","BRD-K20793945",-0.119089393714364,2,-0.119089393714364,0.76979474050635,-0.119089393714364
"6362","BRD-K98437249",-0.11874684934885,6,-0.0162868828513,0.474804951496828,-0.11874684934885
"6363","quinapril",-0.11870951793997,3,-0.104367513876716,0.456826496757651,-0.11870951793997
"6364","BRD-K59893964",-0.118510486696858,1,-0.118510486696858,NA,-0.118510486696858
"6365","SB-590885",-0.118249259859117,43,0.0575777400048662,0.526655383492641,-0.118249259859117
