"target","score","p","padj","norm_z_score","norm_z_score_p","norm_z_score_p_adj"
"PAX8",2893.94581198916,0,0,2.46448452726347,0.0137210487546729,0.358755225975839
"TOP2A",3478.53767505201,0,0,2.36844754192553,0.0178629133455257,0.405048808809449
"EPAS1",3895.95496783033,0,0,2.35877420840662,0.0183354080797739,0.405048808809449
"ATP1A1",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1A4",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1B1",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1B2",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1A2",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"FXYD2",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1B3",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"ATP1A3",4486.04728003048,0,0,2.28343876826533,0.0224045358265345,0.405048808809449
"TOP2B",4465.1041989445,0,0,2.27477906683245,0.0229191865935127,0.405048808809449
"STAT3",3915.48066579211,0,0,2.20621043142262,0.0273692692348278,0.421096367693653
"HSPA5",1929.75672052711,0,0,2.09617057853404,0.0360670618804287,0.495690901741276
"TOP1",5327.92052850854,0,0,1.97642764342899,0.0481063632585785,0.586022970604501
"NCOA3",4329.20229425906,0,0,1.92791707524674,0.0538654414959079,0.620780218089721
"HTT",1596.5060487746,0,0,1.86766965959387,0.0618081301891954,0.662583155628175
"HBB",2601.75383736607,0,0,1.84439605129079,0.0651254423699762,0.677641755194702
"HDAC3",2381.5535225619,0,0,1.83529751869439,0.0664616185333958,0.678541476836193
"TP53",1214.97283826257,0,0,1.77054813325241,0.0766358734810708,0.725804545275719
"NCOR1",3965.60970295685,0,0,1.72584037697156,0.084376133590766,0.725804545275719
"RXFP1",2981.80300557146,0,0,1.71694773970558,0.0859887210795078,0.725804545275719
"HDAC2",2220.95506098665,0,0,1.71528538131656,0.0862929174462321,0.725804545275719
"CTSG",4643.29467470397,0,0,1.71433765615088,0.0864667311396684,0.725804545275719
"PSMD14",6011.98320070734,0,0,1.67301854079022,0.0943236461308772,0.725804545275719
"PSMB2",6011.98320070734,0,0,1.67301854079022,0.0943236461308772,0.725804545275719
"PSMB1",6011.98320070734,0,0,1.67301854079022,0.0943236461308772,0.725804545275719
"PSMB5",6011.98320070734,0,0,1.67301854079022,0.0943236461308772,0.725804545275719
"HDAC9",2258.86574243982,0,0,1.64356846731174,0.100265371837724,0.725804545275719
"HDAC4",2258.86574243982,0,0,1.64356846731174,0.100265371837724,0.725804545275719
"HDAC5",2258.86574243982,0,0,1.64356846731174,0.100265371837724,0.725804545275719
"HDAC7",2258.86574243982,0,0,1.64356846731174,0.100265371837724,0.725804545275719
"BRD4",3354.17423909213,0,0,1.62448479906718,0.104272382021481,0.725804545275719
"SSTR2",5781.96471344747,0,0,1.61389907690518,0.106549318935081,0.725804545275719
"SSTR4",5781.96471344747,0,0,1.61389907690518,0.106549318935081,0.725804545275719
"SSTR5",4331.01642086273,0,0,1.59732028014463,0.110194332452819,0.729187187589027
"HDAC11",2229.07332726008,0,0,1.54342170818746,0.122728489964595,0.771106628710066
"SLC2A1",2937.21635276683,0,0,1.52722132972484,0.126705984110491,0.782353532055603
"NPEPPS",4083.21456555563,0,0,1.4945436625244,0.135033578637957,0.815367094679175
"DNMT1",4093.6622548231,0,0,1.48387199603863,0.137842882407107,0.82093094411344
"HDAC8",1992.73315425679,0,0,1.46939304297609,0.14172621321711,0.830810007890539
"CCND3",3437.22811579657,0,0,1.46902241930538,0.141826708436538,0.830810007890539
"ACVR2A",2991.87800473721,0,0,1.43338797882837,0.151746991869444,0.848612136611761
"NCOR2",2463.11913591912,0,0,1.42777490841441,0.153356657168366,0.848612136611761
"TGFBR2",2450.84907137137,0,0,1.42373981321385,0.154521804119287,0.848612136611761
"HSP90AA1",1735.11365546438,0,0,1.41408292558175,0.157337555799313,0.848612136611761
"CCND2",3845.19050948275,0,0,1.38881269761627,0.164889713083929,0.848612136611761
"BMPR1A",2934.46676925274,0,0,1.3869805230367,0.16544770200733,0.848612136611761
"CXCL8",2392.21973493979,0,0,1.38336056171932,0.166554336889821,0.850220234028039
"GSK3A",2181.60576938709,0,0,1.37612025126664,0.168784406749627,0.857520777419904
"HDAC1",1814.80563508101,0,0,1.31962418286861,0.186960524712316,0.905978195042091
"ACVRL1",2415.21309501661,0,0,1.31164903779022,0.189638579161919,0.905978195042091
"MAPKAPK5",3097.11038944346,0,0,1.31114866134541,0.189807543198046,0.905978195042091
"CDK4",1957.37694018179,0,0,1.22786047666466,0.21949934846715,0.967212686017916
"CDC42BPB",2030.20544756539,0,0,1.1753006320572,0.239874461742783,0.978581221316859
"MAPK12",2137.64640440995,0,0,1.17318616326417,0.240721159538874,0.978581221316859
"MAPK13",2137.64640440995,0,0,1.17318616326417,0.240721159538874,0.978581221316859
"TGFBR1",1950.0754507715,0,0,1.17023297967942,0.241907224286838,0.978581221316859
"CDC42BPA",1952.10087633964,0,0,1.16656447697394,0.243386295976992,0.978581221316859
"MAK",2543.73610043715,0,0,1.16391512316831,0.24445841021201,0.978581221316859
"RAF1",1782.95187987293,0,0,1.16023832267794,0.245951788157919,0.978581221316859
"HDAC10",1783.3590321463,0,0,1.15513013206268,0.248037140618057,0.978581221316859
"CDK6",2529.56825018182,0,0,1.15246431591632,0.249130325106041,0.978581221316859
